,Title,Opinion,Place,Gender,Age,Country,Date,Label
1355,"""Una bello espacio de gran valor histórico""","""No puede faltar la tradicional foto en la escalera y las instalaciones de la universidad son verdaderamente impresionantes.""",Universidad de Guanajuato,Male,29,México,18/05/2015,1
1356,"""Bella""","""Esta Universidad me parecio una de las más bellas universidades de México, sus cientos de escalones, para llegar a la puerta y perderte entre la escala de sus enormes muros, y de frente al edificio el bello paisaje del vertical guanajuato, es algo que vale la pena ver en tu visita a guanajuato, definitivamente.""",Universidad de Guanajuato,Male,19,México,26/11/2012,1
1357,"""Linda""","""La universidad es muy linda aunque no entramos, pero vale la pena conocerla aparte de que está en el centro porque lo que está cerca caminando de todos los puntos turísticos.""",Universidad de Guanajuato,Female,26,México,20/08/2015,1
1358,"""Pasar un rato tranquilo""","""Un buen lugar para descansar. Tomarte un cafe. Comer una nieve disfrutar de la musica en vivo. Cenar en uno de sus restaurantes.""",Jardín de la Unión,Male,21,Chile,26/07/2016,1
1359,"""Simplemente hermoso""","""Si vienes en pareja es obligatorio visitar este sitio, escuchar la leyenda de Doña Ana y Don Carlos, tomarse una foto en el balcón y sobre todo darse un beso en el tercer escalón.""",Callejón del Beso,Female,61,México,09/05/2017,1
1360,"""Imponente""","""Tuve la oportunidad de subir a lo mas alto de la universidad, incluso pase por el taller donde se lleva a cabo la clase de arte,esta impresionante tanto en su interior como en el exterior.""",Universidad de Guanajuato,Female,48,México,16/10/2012,1
1361,"""Un lugar interesante""","""Lo que más me gusto es el mural que esta pintado sobre la escalera que lleva a la segunda planta, es un lugar super interesante que no debes dejar de visitar en Guanajuato.""",Alhóndiga,Female,35,México,16/10/2012,1
1362,algo tenebroso pero bonito,"es algo tenebroso,ves muchas cosas aqui para no dormir. cadaveres momificados de personas de todas las edades. bebes momia ,es algo macabro pero vale la pena visitarlo. lleve mi pasaporte y me lo sellaron gratis,un lindo recuerdo.",Museo de las Momias,Male,-1,Costa Rica,2018,1
1363,"""No puede dejar de conocer si es que vas a Guanajuato""","""No son la gran cosa pero ir a Guanajuato y no ir a conocer las momias sería el colmo. El costo es barato $55 pesos adulto y niños $35 el recorrido es de menos de 30 minutos y la fila en fines de semana para entrar es de 20 minutos así que te llevará una hora, hay guías que te van platicando de la historia de cómo llegaron esos cuerpos desidratados ya que eso es lo que son en realidad, en la salida hay varios puestos de recuerdos baratos.""",Museo de las Momias,Female,33,México,25/10/2017,1
1364,"""Un oasis en la enmarañada Guanajuato""","""Bellísima plaza central de uno de los pueblos más pintorescos de México. Elegantes edificios rodean este remanso verde de arboles podados simétricamente. ¡Precioso!""",Jardín de la Unión,Female,54,Argentina,18/07/2016,1
1365,"""Excelente, está ahí un monumento grande""","""Me gusta, está en alto tiene una hermosa vista, recuerdo que enfrente hay locales y compré un bolso que me encantó.""",Monumento Pípila,Male,46,Colombia,15/06/2012,1
1366,"""¡¡Hermosa iglesia!!""","""Es hermosa sobretodo la fachada de noche digna de postales y de fotografias pues luce hermosa y de adentro impresionante la arquitectura y antigüedad del inmueble… preciosa.""",Basilica Colegiata,Female,37,México,25/07/2012,1
1367,"""No aceptes explicaciones""","""Guanajuato es difícil sino imposible disfrutar sin ser asaltado por guías que realmente pueden llegar a ser agobiantes. En las escaleras la universidad, preciosas, no pude evadir a uno que hablaba y hablaba, haciendo imposible que puedas seguir y disfrutar el lugar. Quizá es mejor correr el riesgo de lucir descortés, avanzar sin mirar a nadie y así poder disfrutar del lugar.""",Universidad de Guanajuato,Male,38,México,15/11/2016,1
1368,Historico,"Sin duda un monumento historico, si eres mexicano lo tienes que conocer, ademas los domingos es gratis para nacionales, el museo es bueno sin embargo creo que se queda corto ya que la importancia de la alhondiga deberia se representada por un museo mucho mas impactante y represntando con mayor impacto la parte tan importante de la historia que representa.",Alhóndiga,Male,-1,México,2018,1
1369,"""Una buena vista de la ciudad de Guanajuato""","""Es uno de los mejores lugares para ver de un vistazo todos los edificios importantes de la ciudad, igual de bonito de día que durante de noche. Los turistas deberían preferir subir por el fonicular, ya que sí lo deciden hacer a pie, los callejones pueden llegar a ser confusos, además de ser un recorrido arduo.""",Monumento Pípila,Male,31,México,14/07/2012,1
1370,"""Lugar obligado para visitar""","""Definitivamente es un lugar emblemático y romántico para conocer la leyenda y por supuesto para ir a tomarse una foto con la pareja y en el tercer escalón darse un beso para continuar con la tradición bella de Guanajuato.""",Callejón del Beso,Male,35,México,19/02/2015,1
1371,"""Mucho gusto, Don Diego""","""Un interesante recorrido por un aspecto de la vida de un artista fascinante, opacado a ratos por su talentosa esposa, de hecho, en la tienda del museo, consigues más cosas de Frida que del mismo Diego. Descubrir la variedad de estilos que trabajó Diego fue toda una sorpresa.""",Casa de Diego Rivera,Female,37,Venezuela,08/04/2015,1
1372,"""Centro de espectáculos""","""La belleza de este teatro está en la conservación del mismo, desde la cantina a la entrada del mismo hasta el area del teatro en sí con todo y su escenario, tómate unos minutos y siéntate para admirar la decoración de las paredes y los techos, sube al segundo piso y admira el tocador para damas del siglo pasado. El mobiliario es original.
Tomate también unos minutos para admirar el exterior del mismo y ver alguno de los espectáculos callejeros que se realizan al pie de la escalinata.""",Teatro Juárez,Male,48,México,21/01/2016,1
1373,Bonita,"Desafortunadamente a pesar de ser la casa real de Diego Rivera de cuando era niño, había más obras de Artistas invitados que de Diego Rivera, per aún así es una visita recomendada y disfrutable.",Casa de Diego Rivera,Male,-1,México,2017,1
1374,"""Visita obligada en Guanajuato""","""Son muchas las atracciones de esta bella ciudad, pero el Museo de las momias de Guanajuato es visita obligada. Aprende a qué se debe que estos cadáveres se momificaron: ¿fué proceso natural?, ¿los sacaron de la tierra?, ¿cuál fué la primera momia descubierta?, ¿se exhiben sólo momias de adultos?. Ven y descubre ésto y mucho más.""",Museo de las Momias,Male,30,México,11/04/2017,1
1375,"""Hermosa sorpresa""","""No estaba dentro de nuestros planes originales en nuestra visita a Guanajuato pero justo el día que nos íbamos decidimos visitar este museo que resultó ser una agradable sorpresa. La arquitectura, el estado de conservación, tanto la muestra permanente como las exposiciónes temporales fueron lindisimas!! Imperdible la terraza que cuando nosotros fuimos estaba en obra pero me imagino que ya estará terminada con un hermoso mural en mosaico de Diego y Frida.""",Casa de Diego Rivera,Female,50,Argentina,21/05/2015,1
1376,"""Mucha historia en ese lugar""","""La construcción es muy bonita y el lugar te transporta a otras epocas. No me gustó que no dejen tomar fotos con flash.""",Teatro Juárez,Female,44,México,27/01/2014,1
1377,"""Muack""","""No puedes dejar de ir al callejón del beso... con tú pareja. Esta en la entrada principal del centro histórico de Guanajuato, muy cerca del mercado Hidalgo, en la Av. Juárez, es mejor ir de día porque no hay tanta fila pero es mas romántico de noche.""",Callejón del Beso,Female,35,México,20/06/2017,1
1378,"""Una joya""","""Si vas por Guanajuato es obligado visitar este gran templo del arte y la cultura. Lleno de historia y conservado espléndidamente.""",Teatro Juárez,Male,60,México,03/09/2014,1
1379,"""Imperdible""","""Excelente lugar lleno de historia y muy bien conservado, los tours guiados son excelentes y aprendes mucho de nuestra historia.""",Alhóndiga,Male,47,México,25/09/2015,1
1380,"""Un lugar para recordar""","""El callejón del beso sin duda es un lugar a donde cuando eres turista tienes que ir. Es tradición de la región, tiene guias que te cuentan la leyenda y si vas con tu pareja puede ser un momento romántico.""",Callejón del Beso,Female,28,México,04/04/2016,1
1381,"""Un lugar lleno de historia""","""Sin duda un lugar lleno de mucha historia, se recomienda visitar en Domingo que es entrada libre, el recorrido es interesando, se recomienda tomarlo con un guía que te explique a detalle las etapas de la lucha de independencia de México, me toco una exposición fotográfica interesante en una de sus salas.""",Alhóndiga,Male,32,México,07/10/2015,1
1382,"""¡Hermosa!""","""Mis viajes a esta ciudad siempre han sido en temporada de cervantino, temprano hay menos gente por el solazo así que es buena opción para recorrer la universidad por dentro es hermosa!! y por las tardes instalan un cine en las escaleras <3 (cervantino)""",Universidad de Guanajuato,Female,31,México,24/09/2016,1
1383,"""La mejor vista de la ciudad""","""Si quieres apreciar una excelente panorámica de la ciudad, esta es una parada inevitable en el tour. Lo único malo es que está rodeada de vendedores ambulantes y falta limpieza.""",Monumento Pípila,Male,53,México,09/07/2014,1
1384,"""Una gran e importante visita""","""Es un gran museo, dado que Diego Rivera vivio ahi. En el museo (casa) se encuentran muchos de los objetos personales de Diego y varias de sus obras. El museo consta de 3 pisos y es un buen lugar para visitar y admirar el arte de este fabuloso artista.""",Casa de Diego Rivera,Male,19,México,05/02/2009,1
1385,"""¡Lo mejor para ver en Guanajuato!""","""¡Este museo es impresionante! Debe haber como unas 60 momias, todas con alguna historia. Estaría bueno que cuenten un poco más sobre esas personas, ya que muchos de ellos son personas que han muerto hace no menos de 50 años. Es tétrico, ver las momias bebes es bastante fuerte, y si quieres duplicar lo tétrico debes ir al museo de la muerte que está al final del de las momias. Totalmente recomendable.""",Museo de las Momias,Male,25,Argentina,14/09/2012,1
1386,"""Una visita obligada""","""Desde que uno entra en la ciudad puede encontrar diferentes banners y mensajes constantes que hacen referencia al Museo. Así que se convierte en una visitada obligada. Hay que ir temprano si se quiere evitar la numerosa fila y también tener oportunidad de escuchar la explicación de uno de los guías, gracias a la explicación es más interesante observar el fenómeno de deshidratación de los cuerpos y comprender más acerca de la exhibición. Hay un cargo extra por tomar fotos, pero en lo personal creo que vale la pena. Además aceptan tarjetas de crédito en el pago en taquilla. El museo se recorre relativamente rápido, en menos de una hora, pero si se encuentra un poco lejos del centro de la ciudad, así que lo mejor es tomar algún tipo de transporte para llegar.""",Museo de las Momias,Female,30,México,21/09/2014,1
1387,"""Lugar de diversión y aprendizaje""","""Su fachada muestra magnificencia y creo dentro de el ha de ser lo mismo, como casi todos los lugares públicos más populares, y que espero poder en otra oportunidad visitar mas a profundidad.""",Teatro Juárez,Female,56,México,24/03/2012,1
1388,Increible,"Imperdible. Es una maravilla, para fotografiar y para conocer mas de la historia de la independencia de Mexico. En general los precios de las entradas son accesibles entre 30 y 50 $mex. ademas se pagan entre 20 y 30 4mex. el derecho a la fotografia",Alhóndiga,Female,-1,Argentina,2019,1
1389,"""Imperdible""","""Es una visita imperdible en Guanajuato las momias están detrás de vitrinas de vidrio puedes sacar fotos sin flash cobran 45 pesos.""",Museo de las Momias,Female,45,México,24/07/2017,1
1390,"""Muy bueno""","""La verdad no me gustaron para nada las momias, pero es interesante ver la descomposición que antes se daba en los cadáveres de la ciudad. Paguen el extra para entrar y ver los artefactos de tortura y las cosas 'sobrenaturales', éso fue lo mejor del paseo al museo de las momias.""",Museo de las Momias,Male,63,Estados Unidos,21/07/2013,1
1391,"""Buen museo""","""Este museo es solo para los amantes de la historia, en lo personal me gusta, pues narra y describe paso a paso el desarrillo de nuestra independencia, de manera ordenada y facil de comprender.""",Alhóndiga,Female,35,México,20/06/2016,1
1392,¡UNA LEYENDA!,"""Vale la pena contratar a un guía que te de la explicación de la leyenda de este callejón y por supuesto cerrar la visita con un beso en el tercer escalón.""",Callejón del Beso,Male,42,México,21/03/2018,1
1393,"""Imponente""","""Asentada en el centro de la ciudad, su arquitectura es imponente Vistiendo totalmente la Plaza de la Paz, es un lugar obligado para su visita La típica foto cayendo la tarde no puede faltar En su interior se pueden apreciar el arte y estructura imponentes.""",Basilica Colegiata,Male,24,Argentina,27/12/2017,1
1394,"""Es un edificio colonial""","""Es visita obligada para todas las personas que visitan Guanajuato, generalmente únicamente lo admiran su parte exterior pero se pierden lo mejor, tienen que pasar a su interior, es un edificio publico y todas las personas pueden tener acceso.""",Universidad de Guanajuato,Male,62,México,19/02/2015,1
1395,"""Desayuno económico""","""Excelente para comprar cosas económicas desayunos comidas y recuerditos económicos que en otras tiendas están carísimas vale la pena visitarlo.""",Mercado Hidalgo,Male,35,México,19/09/2016,1
1396,"""Hermoso edificio""","""Es una hermosa cnstrucción que sin ser propiamente colonial armoniza perfectamente con la arquitectura de esta bella ciudad.""",Universidad de Guanajuato,Female,38,México,03/12/2011,1
1397,"""Excelente arquitectura""","""Esta Universidad esta construida con un sinumero de detalles, excellente vista de dia o de noche , es enorme y tiene muchisimas carreras para estudiar , debajo de ella pasa un tunel, es una de las universidades mas bonitas que hay en Mexico.""",Universidad de Guanajuato,Female,26,México,20/08/2014,1
1398,"""Si me gustó""","""La verdad es muy bonita la historia de México y más la de la independencia que fue la que dio muchos héroes sin nombre y la verdad gracias por ese cuidado de nuestros héroes.""",Monumento Pípila,Female,28,México,09/09/2015,1
1399,"""Orgullo de Guanajuato y mío""","""Las escalinatas son un importante distintivo de guanajuato no solo por su estructura, sino por la tradicion y magnifica educacion que ofrece, yo soy graduada de esta universidad y es un orgullo para mi y los guanajuatenses.""",Universidad de Guanajuato,Female,25,México,26/04/2012,1
1400,"""¡Muy lindo!""","""¡Lo más lindo de Guanajuato! Su arquitectura es impresionante. Cada detalle tiene mucho estilo, ¡no se lo pierdan!""",Teatro Juárez,Female,36,México,10/04/2017,1
1401,"""Linda vista""","""Las 5 estrellas las dan la vista tan espectacular de Guanajuato. Parece un cuadro. Desde este monumento/mirador se ven todas los lugares más importantes de Guanajuato como la Basílica, el Jardín, la Universidad, el Teatro Juárez, la Alhóndiga de Granaditas, la Plaza de la paz, etc. Horrible, eso sí, la cantidad de chicles pegados en la cabeza del pobre Pípila... deberían quitarlos porque no es nada cool.""",Monumento Pípila,Male,20,Colombia,05/05/2016,1
1402,"""Hermoso""","""Teatro Juárez es sin duda para mí de los más hermosos edificios que he tenido oportunidad de ver... Tanto por su arquitectura como por la belleza de los materiales que lo componen... un lugar que hay que visitar…""",Teatro Juárez,Male,37,Chile,31/12/2015,1
1403,"""Hermosa""","""Esta universidad es una de las hermosas que he visto. La arquitectura tan particular en ese espacio tan contrariamente particular le otorga un contraste divertido y fantastico. En mi viaje por esta ciudad me toco un concierto abierto al publico en el auditorio, que es la estructura de hasta arriba. Si pudieran correr con esa misma suerte no duden es subir todas esa escaleras.""",Universidad de Guanajuato,Male,40,México,19/05/2016,1
1404,"""Somos novios""","""Leyenda de dominio público, que encanta a los enamorados y que el lugar tienen que ser visitado al menos una vez en la vida.""",Callejón del Beso,Female,19,México,15/02/2013,1
1405,"""Parada obligada, pero…""","""Este es un lugar que tienes que visitar por tradición y leyenda, la historia es muy romántica y si vas en pareja es mejor, pero como tal no es bonito, ni te ofrece un gran espectáculo.""",Callejón del Beso,Female,26,México,22/03/2017,1
1406,Una linda casa de este artista,"La casa esta muy bonita, muy grande, tiene muchas cosas originales y personales del artista, muchas de sus obras son originales, sin duda debes visitarlo",Casa de Diego Rivera,Male,-1,México,2017,1
1407,Interesante lugar,"Un museo muy interesante y diferente, recomiendo mucho utilizar uno de los guías para que les den la explicación de todo lo que está en dicho museo. Al salir no se pierdan las Nieves del sr. Sebastián, están deliciosas",Museo de las Momias,Female,-1,N/I,2019,1
1408,"""Muy buen museo""","""El museo esta muy bien cuidado, tiene las explicaciones para cada cosa, existe orden. Los domingos la entrada es gratuita, aunque cierran temprano.""",Alhóndiga,Female,56,México,04/11/2015,1
1409,Museo con varias opciones,"Es un museo que alberga diversas muestras de artistas nacionales e internacionales, obras de muy buena calidad. Y puedes ver obras de Diego Rivera.",Casa de Diego Rivera,Male,-1,N/I,2016,1
1410,Clásico para visitar,"Tradicional, un must en la ciudad, los guías cuentan la 
historia clásica y te toman la foto por una propina…. Llévate
un selfiestick y tomate la foto de arriba hacia abajo tambien!",Callejón del Beso,Male,-1,México,2019,1
1411,"""Muy bien""","""Están muy bien conservadas las momias, la visita a este museo es parte de los atractivos de Guanajuato.""",Museo de las Momias,Male,60,México,05/12/2016,1
1412,"""Historia""","""Excelente lugar para disfrutar de algunos monumentos, así como para conocer la historia de México excelente lugar.""",Alhóndiga,Female,39,México,02/10/2016,1
1413,"""NO PUEDES PERDERTELO""","""Es el mejor lugar para la foto, para admirar Guanajuato con todos sus colores es como un mapa también porque puedes ver los sitios por los que has pasado.""",Monumento Pípila,Female,25,México,24/09/2016,1
1414,"""Interesante y con muchas piezas""","""Para tener una mejor idea de lo que se verá ahi, hay que aclarar que no fue la casa de Diego, sino la casa de sus padres donde vivió sus primeros años.
La casa cuenta con una muestra de muchas piezas del artista, sin incluir las más famosas, pero muy interesantes por los diferentes ángulos de la vida y desarrollo artístico de Diego. También hay una biografía muy completa del pintor.""",Casa de Diego Rivera,Male,35,México,02/06/2015,1
1415,"""Agradable""","""Un jardín justo frente al imponente teatro Juárez Lugar de bares y restaurante, con ambiente festivo todos los días. Un lugar para disfrutar""",Jardín de la Unión,Male,46,México,29/10/2017,1
1416,"""Excelente""","""Ir a Guanajuato y no visitar la Alhóndiga es como no haber ido. Excelente lugar para revivir la historia de nuestro México. La explicación de los guías muy amena y ágil.""",Alhóndiga,Female,30,México,29/09/2015,1
1417,"""¡Qué miedo!""","""Cuando lo visite me sentí como en una película del Santo, el lugar es obviamente frío y relativamente con poca luz, el ambiente se siente un poco lúgubre pero es emocionante recorrer el lugar sobretodo escuchando la explicación del guía acerca de las momias más representativas como la de la mujer embarazada.""",Museo de las Momias,Female,32,México,23/04/2012,1
1418,"""Muy lindo""","""Hermosa fachada, lindo lugar. excelente arquitectura. foto obligatoria. etcetera etcetera etcetera ideal para tomarse fotos.""",Teatro Juárez,Female,29,México,26/12/2013,1
1419,"""Muy romántico""","""Hermoso lugar para visitar con tu pareja, muy pintoresco, y un clima muy agradable los callejones y calles hermosas.""",Callejón del Beso,Female,32,México,04/10/2016,1
1420,"""Arquitectura colonial muy bella""","""Bonita por fuera y maravillosa por dentro, muy cuidada y hermosa. No dejar de visitarla. Los candiles son una pieza increible del arte colonial.""",Basilica Colegiata,Male,43,México,03/01/2013,1
1421,"""Tradicional pero…""","""La tradicional visita al ir a Guanajuato, para quienes visitan por primera vez es importante; pero para quienes han visitado en más de una ocasión, llega a ser tiempo que podrías dedicar a otra cosa. Es interesante también porque ves la inusual plantación y construcción de la ciudad de Guanajuato en callejones y callejuelas.""",Callejón del Beso,Male,30,México,27/06/2015,1
1422,Vale la pena,"Si estas en Guanajuato, claro que vale la pena visitar este museo y conocer mas de la vida y obras de Diego Rivera, el museo esta bien cuidado y aunque son muchas escaleras vale la pena esperar a la platica en el auditorio que es como un cierre de la visita. Quizas ayudaría que hubiera algun guía pero aun sin eso con la explicacion final vale la pena. No toma mucho tiempo, no es caro y es un personaje importante de la pintura mexicana.",Casa de Diego Rivera,Male,-1,México,2019,1
1423,"""Lugar para reafirmar el amor""","""Es un pequeño callejón dónde es tradición darse un beso y dejar un candando con su nombre, además los habitantes te cuentan la historia por una propina y te toman foto del beso.""",Callejón del Beso,Male,53,México,10/02/2017,1
1424,"""Imponente""","""Es un edificio Colonial,que despide historia y en algunos casos secretos, que se insinuan al caminar por sus pisos y dentro de sus salones (Ahora convertidos en áreas bellas y antes de sufrimiento)""",Alhóndiga,Male,32,México,12/06/2012,1
1425,"""Excelente lugar""","""Me tocó ir por la mañana y es un lugar super tranquilo y se disfruta por la noche es bastante ruidoso y complicado de caminar.""",Jardín de la Unión,Male,22,México,08/11/2017,1
1426,"""El pueblo que no conoce su historia esta condenado a repetirla""","""El lugar es impresionante, hay mucha historia que leer y/o escuchar. Sugiero ir con tiempo pues yo sólo tenía una hora para recorrerlo y no da tiempo de leer todo. Ojalá y las personas que lo visitan hagan más que ir sólo a tomarse la foto, eso es muy triste. Los domingos la entrada es sin costo.Los murales son impresionantes.""",Alhóndiga,Female,35,México,07/07/2017,1
1427,"""¡¡PRECIOSA!!""","""Es tan hermosa en su interior y se celebran las mejores ceremonias eclesiásticas de la sociedad. Además del tinte religioso como historia y arquitectura vale en todo.""",Basilica Colegiata,Female,41,México,12/09/2017,1
1428,"""Entre callejones, comida, gente y cultura es parada obligada""","""Visita obligada cuando se pasea por Guanajuato. Aquí las vistas y la gente se aconglomeran. En muy poca área uno tiene mucha cultura, comida, escenarios y puede pasear hasta muy entrada la noche de forma segura.
La seguridad de la zona es muy alta de día y de noche. En su centro hay un quisco con árboles y bancas muy bien iluminadas, el Teatro Juárez al frente, al lado la Plaza de la Paz y así, todo el centro se comunica perfectamente por lo que se puede caminar en todas las direcciones teniendo algo nuevo que ver. Les recomiendo pasar de día y de noche porque el mismo lugar cambia mucho sólo por la iluminación y los espectáculos que se dan en sus áreas. Los fotógrafos tendrán mucho material frente a ellos sin moverse casi nada.
Los callejones que conducen a aquí son estrechos, pero siempre hay policías dando rondines en patrulla o a pie, además de la policía turística. Los negocios en general están abiertos desde temprano y cierran tarde, mas no así los museos, por lo que deben revisar el horario de cada lugar al que quieran ir individualmente (el domingo cierran muy temprano, a las 2:30 p.m.). 
Los restaurantes de la zona tienen precios moderados (contrario a caro, como se esperaría de un punto tan referente).
Hay obras de arte en la calle, destacando ""La Giganta"", que tiene de fondo (según el ángulo desde donde se vea) al Templo de San Diego o el Teatro Juárez. Más arriba, el domo del mismo templo se remata con la vista de la escultura al Pípila en lo alto de la loma.
A espaldas de esta plaza se encuentra la Universidad de Guanajuato, que es una vista referente también de la ciudad. 
Toda esta sección de la ciudad debe de verse y disfrutarse a lo largo del día. Volver vale la pena y se puede hacer sin repetir el hacer o comer lo mismo (busquen los restaurantes de las calles interiores como el Truco 7 y otros a espaldas de la iglesia).""",Jardín de la Unión,Male,26,México,19/02/2014,1
1429,"""Muy lindo""","""Un lugar para relajarse en vacaciones, muy romántico por la noche. Y se encuentra céntrico con respecto al resto de las atracciones.""",Jardín de la Unión,Female,19,México,11/06/2017,1
1430,"""Excelente vista""","""Es un lugar que tienen que visitar ya que cuenta con una excelente vista y con un poco de historia. Ya que puedes aprender quien es y fue el Pípila. Pero te recomiendo tomar el funicular.""",Monumento Pípila,Male,37,México,06/11/2016,1
1431,"""Hermosísimo teatro""","""Nos encantó todo, pero sobre la sala principal, con sus lámparas gigantes y hermosísimas, el estilo que tiene el Teatro es impresionante.""",Teatro Juárez,Female,23,México,01/01/2014,1
1432,"""Gran arquitectura""","""Muy buen lugar para hacer fotos, para los fanaticos de Game of Thrones, no podran negar que este lugar recuerda a la septa de Baelor.""",Universidad de Guanajuato,Male,30,Panamá,02/01/2018,1
1433,"""Maravillosa vista de la ciudad""","""Cuando visitas lugares como éstos te enorgullece ser mexicano. La vista de Guanajuato capital desde este punto es hermosa. Los colores de los edificios combinados con los rayos del sol pintan un paisaje de postal. El monumento al Pípila es grandioso. El mercadito es muy bueno con productos típicos y recuerdos de la región. La comida de los puestos sabrosa. Los baños es lo complicado, tienes que subir y bajar una larga escalinata. Ideal para que tomes una foto selfie, familiar, grupal y panorámica.""",Monumento Pípila,Male,28,México,28/12/2016,1
1434,"""Interesante museo""","""La casa donde nació Diego Rivera convertida en museo sobre su vida y su obra, en la planta baja se conservan los muebles y pertenencias familiares, en los pisos superiores algunas pinturas y dibujos.""",Casa de Diego Rivera,Male,50,Venezuela,04/12/2015,1
1435,"""Un agradable lugar""","""Es un bonito lugar de Guanajuato, rodeado de una hermosa vista arquitectónica, música, vendedores y mucha gente disfrutando de este espacio.""",Jardín de la Unión,Female,53,México,06/04/2013,1
1436,"""Parte de la historia""","""Este teatro constituye una visita obligada en la ciudar, cuenta con una hermosa arquitectura exterior e interior, como punto turístico es parte de la historia de la nación pues jugo un papel importante durante la revolucion mexicana de 1910. Es un lugar de suma importancia en la ciudad y cuenta con guias que te van narrando la historia del lugar y te permite conocer mas acerca de la cultura, e historia de la ciudad y el país.""",Teatro Juárez,Male,40,México,31/10/2016,1
1437,"""Por 5ta vez y muy bueno""","""Muy bueno como siempre aunque ahora no nos tocó guía pero nunca falta la gente que nos dijera.Pero como siempre muy limpio, súper rápido el acceso y las filas si van a Guanajuto no dejen de visitar, está súper y muy histórico.""",Museo de las Momias,Male,27,México,18/10/2016,1
1438,"""Muy bonito""","""Este lugar el cual se aprecia desde el mirador del pipila como si fuera una rebanada de queso tiene mucho entretenimiento con sus restaurantes al aire libre y grupos musicales como norteños y mariachis para pasar momentos muy amenos.""",Jardín de la Unión,Male,-1,Estados Unidos,07/01/2016,1
1439,"""¿Se puede calificar de excelente algo tan terrible?""","""Es excelentemente terrible... contrariamente a las catacumbas de Palermo en Sicilia en que los cadáveres estaban vestidos y con gesto placido, estos cadáveres resecados están desnudos en su mayoría y el 90 por ciento tiene muecas de terrible sufrimiento. Es muy penoso pensar en lo que han pasado estas personas en vida y lo terrible de ser expuestas en la muerte. No volvería jamás por una cuestión de respeto.""",Museo de las Momias,Female,28,Argentina,17/04/2015,1
1440,Obligado,"Hay que ir a sacar la fotografía. Un poco escondido. Más fácil
la entrada por las calles de arriba ya que entras más rapido a 
las casas de donde se dan los besos las parejas. Cobro
mínimo. Si llegas por abajo hay gente (locales) que te piden 
hacer fila y esperan además una propina",Callejón del Beso,Male,-1,N/I,2018,1
1441,"""Hermoso""","""Se puede sentir como era ir en esas epocas al taetro con todo el glamur que era con detalles realmente hermosos un lugar obligado en tu visita a Guanajuato.""",Teatro Juárez,Female,56,México,10/01/2012,1
1442,Una obligada tradicion,"Toda una tradición este mercado, se come muy bien, encuentras algunas artesanias, las tortas de carnitas muy recomendables y economicas",Mercado Hidalgo,Male,-1,México,2017,1
1443,"""Beautiful cathedral""","""The cathedral is located in the heart of Guanajuato. It is preserved in optimal conditions and the architecture of the place is surprising.""",Basilica Colegiata,Male,55,Venezuela,06/04/2016,1
1444,"""Hermoso y alegre""","""Es un lugar muy concurrido, pintoresco. Lleno de alegría con la música del mariachi, romántico y lleno de fiesta, sin duda tienes que visitarlo.""",Jardín de la Unión,Female,27,Chile,05/02/2017,1
1445,"""Lugar con encanto""","""Bonito lugar para pasear. Muy tranquilo y agradable. Nos gustó mucho dar una caminata y disfrutar del ambiente.""",Jardín de la Unión,Female,30,España,19/02/2018,1
1446,"""Increíble""","""El momento es grande y agradable pero no se compara con las vistas que tienes de la ciudad son verdaderamente increíbles. Una visita obligada en Guanajuato.""",Monumento Pípila,Female,45,México,03/07/2017,1
1447,"""Monumental""","""Cada vez que vamos tratamos de visitarlo, ya sea viendo sus teatros callejeros y viendo alguna obra que estén presentando, es una joya en pleno centro de la cuidad con muchas actividades que valen la pena apoyar.""",Teatro Juárez,Female,50,México,25/11/2014,1
1448,"""¡Tienes que besar!""","""Si vas a Guanajuato tienes que ir a este lugar, no seas amargado y disfruta de una historia de amor y muerte! hay un muchacho que te toma la foto y te la imprime en un folleto que es un bonito recuerdo.""",Callejón del Beso,Male,25,México,28/01/2018,1
1449,"""Basílica o palacio""","""No sabía si persinarme o seguir viendo una construcción emblemática sin mayor dudas una representación del estado que te dejará cautivado.""",Basilica Colegiata,Male,-1,México,06/11/2016,1
1450,reconfortante e ilustrativa visita,un exelente lugar para visitar y disfrutar de su exquisito interior ademas de su historia ya que su su pasado es exelente forma de aprender,Basilica Colegiata,Male,-1,México,2018,1
1451,"""Hermoso museo""","""Ubicado en la zona turística la casa donde el famoso pintor vivió una etapa de su infancia , cuenta con réplicas de los muebles que en su época estuvieron acomodados en cada habitación, pinturas originales , una de las más destacadas la que realizó a los 11 años que fue la que lo colocó con los grandes maestros en Europa, vale la pena realizar un recorrido con guía.""",Casa de Diego Rivera,Female,27,Argentina,21/05/2016,1
1452,"""Pequeño pero tiene su encanto""","""Es un lugar agradable, ya sea para descansar un rato despues de tanto caminar por el centro de gto y/o para tomar o comer en un restaurante, algunos son algo caritos, pero hay otros de precios accesibles, es pequeño pero pintoresco, es visita obligada en el centro, justo frente al teatro.""",Jardín de la Unión,Female,31,México,28/01/2017,1
1453,"""UN BUEN ATRACTIVO""","""Es una visita obligada para todo aquel que visita Guanajuato. El recorrido resulta agradable y permite, si se desea, comprar alguna de las artesanias que ofrecen.""",Callejón del Beso,Male,62,México,17/11/2015,1
